Date/Time,100m_N Avg [m/s],100m_N Std [m/s],100m_S Avg [m/s],100m_S Std [m/s],80m Avg [m/s],80m Avg [m/s],80m Avg [m/s],80m Avg [m/s],80m Avg [m/s],80m Avg [m/s],80m Avg [m/s],80m Avg [m/s],80m Avg [m/s],80m Avg [m/s],80m Avg [m/s],80m Avg [m/s]
01-11-2017 03:30,4.859,0.205,4.944,0.205,4.378,5.378,6.378,7.378,8.378,9.378,10.378,11.378,12.378,13.378,14.378,15.378
01-11-2017 03:40,4.544,0.307,4.623,0.307,4.307,5.307,6.307,7.307,8.307,9.307,10.307,11.307,12.307,13.307,14.307,15.307
01-11-2017 03:50,4.363,0.355,4.449,0.369,5.123,6.123,7.123,8.123,9.123,10.123,11.123,12.123,13.123,14.123,15.123,16.123
01-11-2017 04:00,5.202,0.307,NaN,NaN,5.863,6.863,7.863,8.863,9.863,10.863,11.863,12.863,13.863,14.863,15.863,16.863
01-11-2017 04:10,5.114,0.34,NaN,NaN,6.113,7.113,8.113,9.113,10.113,11.113,12.113,13.113,14.113,15.113,16.113,17.113
01-11-2017 04:20,5.163,0.355,NaN,NaN,5.875,6.875,7.875,8.875,9.875,10.875,11.875,12.875,13.875,14.875,15.875,16.875
01-11-2017 04:30,5.684,0.41,NaN,NaN,6.365,7.365,8.365,9.365,10.365,11.365,12.365,13.365,14.365,15.365,16.365,17.365
01-11-2017 04:40,5.74,0.355,5.846,0.354,6.201,7.201,8.201,9.201,10.201,11.201,12.201,13.201,14.201,15.201,16.201,17.201
01-11-2017 04:50,6.278,0.29,6.415,0.307,5.817,6.817,7.817,8.817,9.817,10.817,11.817,12.817,13.817,14.817,15.817,16.817
01-11-2017 05:00,6.234,0.251,6.361,0.251,5.777,6.777,7.777,8.777,9.777,10.777,11.777,12.777,13.777,14.777,15.777,16.777
01-11-2017 05:10,6.037,0.383,6.172,0.409,5.819,6.819,7.819,8.819,9.819,10.819,11.819,12.819,13.819,14.819,15.819,16.819
01-11-2017 05:20,6.44,0.422,6.562,0.409,6.03,7.03,8.03,9.03,10.03,11.03,12.03,13.03,14.03,15.03,16.03,17.03
01-11-2017 05:30,6.519,0.355,6.614,0.354,6.461,7.461,8.461,9.461,10.461,11.461,12.461,13.461,14.461,15.461,16.461,17.461
01-11-2017 05:40,6.246,0.324,6.354,0.339,5.866,6.866,7.866,8.866,9.866,10.866,11.866,12.866,13.866,14.866,15.866,16.866
01-11-2017 05:50,6.875,0.435,6.962,0.446,6.731,7.731,8.731,9.731,10.731,11.731,12.731,13.731,14.731,15.731,16.731,17.731
01-11-2017 06:00,6.693,0.271,6.78,0.251,6.659,7.659,8.659,9.659,10.659,11.659,12.659,13.659,14.659,15.659,16.659,17.659
01-11-2017 06:10,6.904,0.271,7.006,0.271,6.98,7.98,8.98,9.98,10.98,11.98,12.98,13.98,14.98,15.98,16.98,17.98
01-11-2017 06:20,6.575,0.271,6.668,0.271,6.735,7.735,8.735,9.735,10.735,11.735,12.735,13.735,14.735,15.735,16.735,17.735
01-11-2017 06:30,6.641,0.29,6.726,0.271,6.875,7.875,8.875,9.875,10.875,11.875,12.875,13.875,14.875,15.875,16.875,17.875
01-11-2017 06:40,6.251,0.177,6.314,0.205,6.549,7.549,8.549,9.549,10.549,11.549,12.549,13.549,14.549,15.549,16.549,17.549
01-11-2017 06:50,5.924,0.397,5.984,0.396,6.184,7.184,8.184,9.184,10.184,11.184,12.184,13.184,14.184,15.184,16.184,17.184
01-11-2017 07:00,5.463,0.205,5.523,0.205,5.626,6.626,7.626,8.626,9.626,10.626,11.626,12.626,13.626,14.626,15.626,16.626
01-11-2017 07:10,5.097,0.177,5.167,0.145,5.339,6.339,7.339,8.339,9.339,10.339,11.339,12.339,13.339,14.339,15.339,16.339
01-11-2017 07:20,5.274,0.205,5.334,0.229,5.557,6.557,7.557,8.557,9.557,10.557,11.557,12.557,13.557,14.557,15.557,16.557
01-11-2017 07:30,5.708,0.251,5.773,0.271,5.831,6.831,7.831,8.831,9.831,10.831,11.831,12.831,13.831,14.831,15.831,16.831
01-11-2017 07:40,5.78,0.145,5.844,0.205,5.917,6.917,7.917,8.917,9.917,10.917,11.917,12.917,13.917,14.917,15.917,16.917
01-11-2017 07:50,6.072,0.307,6.155,0.307,6.221,7.221,8.221,9.221,10.221,11.221,12.221,13.221,14.221,15.221,16.221,17.221
01-11-2017 08:00,6.619,0.251,6.714,0.251,6.875,7.875,8.875,9.875,10.875,11.875,12.875,13.875,14.875,15.875,16.875,17.875
01-11-2017 08:10,7.103,0.229,7.18,0.251,7.159,8.159,9.159,10.159,11.159,12.159,13.159,14.159,15.159,16.159,17.159,18.159
01-11-2017 08:20,7.137,0.229,7.224,0.229,7.284,8.284,9.284,10.284,11.284,12.284,13.284,14.284,15.284,16.284,17.284,18.284
01-11-2017 08:30,7.061,0.229,7.16,0.229,7.076,8.076,9.076,10.076,11.076,12.076,13.076,14.076,15.076,16.076,17.076,18.076
01-11-2017 08:40,7.299,0.205,7.393,0.205,7.36,8.36,9.36,10.36,11.36,12.36,13.36,14.36,15.36,16.36,17.36,18.36
01-11-2017 08:50,7.442,0.205,7.538,0.229,7.468,8.468,9.468,10.468,11.468,12.468,13.468,14.468,15.468,16.468,17.468,18.468
01-11-2017 09:00,7.52,0.145,7.624,0.145,7.377,8.377,9.377,10.377,11.377,12.377,13.377,14.377,15.377,16.377,17.377,18.377
01-11-2017 09:10,7.692,0.145,7.805,0.177,7.564,8.564,9.564,10.564,11.564,12.564,13.564,14.564,15.564,16.564,17.564,18.564
01-11-2017 09:20,7.508,0.229,7.607,0.229,7.341,8.341,9.341,10.341,11.341,12.341,13.341,14.341,15.341,16.341,17.341,18.341
01-11-2017 09:30,7.15,0.307,7.268,0.307,6.851,7.851,8.851,9.851,10.851,11.851,12.851,13.851,14.851,15.851,16.851,17.851
01-11-2017 09:40,6.236,0.481,6.339,0.491,5.675,6.675,7.675,8.675,9.675,10.675,11.675,12.675,13.675,14.675,15.675,16.675
01-11-2017 09:50,6.177,0.422,6.27,0.434,5.897,6.897,7.897,8.897,9.897,10.897,11.897,12.897,13.897,14.897,15.897,16.897
01-11-2017 10:00,5.284,0.623,5.373,0.639,5.015,6.015,7.015,8.015,9.015,10.015,11.015,12.015,13.015,14.015,15.015,16.015
01-11-2017 10:10,4.832,0.502,4.915,0.522,4.714,5.714,6.714,7.714,8.714,9.714,10.714,11.714,12.714,13.714,14.714,15.714
01-11-2017 10:20,4.923,0.648,5.005,0.694,4.699,5.699,6.699,7.699,8.699,9.699,10.699,11.699,12.699,13.699,14.699,15.699
01-11-2017 10:30,4.778,0.739,4.802,0.772,4.687,5.687,6.687,7.687,8.687,9.687,10.687,11.687,12.687,13.687,14.687,15.687
01-11-2017 10:40,5.443,0.623,5.501,0.647,5.577,6.577,7.577,8.577,9.577,10.577,11.577,12.577,13.577,14.577,15.577,16.577
01-11-2017 10:50,5.48,0.826,5.542,0.868,5.358,6.358,7.358,8.358,9.358,10.358,11.358,12.358,13.358,14.358,15.358,16.358
01-11-2017 11:00,5.608,0.632,5.635,0.655,5.577,6.577,7.577,8.577,9.577,10.577,11.577,12.577,13.577,14.577,15.577,16.577
01-11-2017 11:10,5.443,0.893,5.478,0.904,5.336,6.336,7.336,8.336,9.336,10.336,11.336,12.336,13.336,14.336,15.336,16.336
01-11-2017 11:20,5.811,0.664,5.893,0.701,5.871,6.871,7.871,8.871,9.871,10.871,11.871,12.871,13.871,14.871,15.871,16.871
01-11-2017 11:30,5.696,0.8,5.736,0.825,5.699,6.699,7.699,8.699,9.699,10.699,11.699,12.699,13.699,14.699,15.699,16.699
01-11-2017 11:40,5.811,0.807,5.868,0.806,5.826,6.826,7.826,8.826,9.826,10.826,11.826,12.826,13.826,14.826,15.826,16.826
01-11-2017 11:50,5.308,1.084,5.273,1.121,5.072,6.072,7.072,8.072,9.072,10.072,11.072,12.072,13.072,14.072,15.072,16.072
01-11-2017 12:00,4.272,0.561,4.314,0.56,4.288,5.288,6.288,7.288,8.288,9.288,10.288,11.288,12.288,13.288,14.288,15.288
01-11-2017 12:10,4.179,0.502,4.177,0.532,4.092,5.092,6.092,7.092,8.092,9.092,10.092,11.092,12.092,13.092,14.092,15.092
01-11-2017 12:20,4.284,0.47,4.292,0.48,4.29,5.29,6.29,7.29,8.29,9.29,10.29,11.29,12.29,13.29,14.29,15.29
01-11-2017 12:30,4.373,0.422,4.392,0.383,4.307,5.307,6.307,7.307,8.307,9.307,10.307,11.307,12.307,13.307,14.307,15.307
01-11-2017 12:40,4.554,0.435,4.532,0.396,4.459,5.459,6.459,7.459,8.459,9.459,10.459,11.459,12.459,13.459,14.459,15.459
01-11-2017 12:50,4.584,0.397,4.588,0.383,4.371,5.371,6.371,7.371,8.371,9.371,10.371,11.371,12.371,13.371,14.371,15.371
01-11-2017 13:00,4.706,0.397,4.689,0.383,4.606,5.606,6.606,7.606,8.606,9.606,10.606,11.606,12.606,13.606,14.606,15.606
01-11-2017 13:10,4.842,0.271,4.812,0.271,4.709,5.709,6.709,7.709,8.709,9.709,10.709,11.709,12.709,13.709,14.709,15.709
01-11-2017 13:20,4.783,0.422,4.758,0.396,4.57,5.57,6.57,7.57,8.57,9.57,10.57,11.57,12.57,13.57,14.57,15.57
01-11-2017 13:30,4.91,0.307,4.861,0.307,4.792,5.792,6.792,7.792,8.792,9.792,10.792,11.792,12.792,13.792,14.792,15.792
01-11-2017 13:40,4.866,0.532,4.834,0.501,4.724,5.724,6.724,7.724,8.724,9.724,10.724,11.724,12.724,13.724,14.724,15.724
01-11-2017 13:50,4.834,0.481,4.767,0.501,4.616,5.616,6.616,7.616,8.616,9.616,10.616,11.616,12.616,13.616,14.616,15.616
01-11-2017 14:00,5.249,0.57,5.275,0.57,4.991,5.991,6.991,7.991,8.991,9.991,10.991,11.991,12.991,13.991,14.991,15.991
01-11-2017 14:10,5.291,0.656,5.312,0.597,4.986,5.986,6.986,7.986,8.986,9.986,10.986,11.986,12.986,13.986,14.986,15.986
01-11-2017 14:20,5.033,0.58,5.013,0.597,4.905,5.905,6.905,7.905,8.905,9.905,10.905,11.905,12.905,13.905,14.905,15.905
01-11-2017 14:30,5.384,0.522,5.366,0.491,5.155,6.155,7.155,8.155,9.155,10.155,11.155,12.155,13.155,14.155,15.155,16.155
01-11-2017 14:40,5.563,0.383,5.52,0.383,5.14,6.14,7.14,8.14,9.14,10.14,11.14,12.14,13.14,14.14,15.14,16.14
01-11-2017 14:50,5.566,0.251,5.554,0.229,5.341,6.341,7.341,8.341,9.341,10.341,11.341,12.341,13.341,14.341,15.341,16.341
01-11-2017 15:00,5.514,0.307,5.518,0.289,5.089,6.089,7.089,8.089,9.089,10.089,11.089,12.089,13.089,14.089,15.089,16.089
01-11-2017 15:10,4.991,0.29,5.018,0.271,4.525,5.525,6.525,7.525,8.525,9.525,10.525,11.525,12.525,13.525,14.525,15.525
01-11-2017 15:20,4.856,0.34,4.856,0.354,4.425,5.425,6.425,7.425,8.425,9.425,10.425,11.425,12.425,13.425,14.425,15.425
01-11-2017 15:30,4.738,0.383,4.733,0.383,4.518,5.518,6.518,7.518,8.518,9.518,10.518,11.518,12.518,13.518,14.518,15.518
01-11-2017 15:40,4.267,0.512,4.28,0.491,3.893,4.893,5.893,6.893,7.893,8.893,9.893,10.893,11.893,12.893,13.893,14.893
01-11-2017 15:50,3.739,0.552,3.703,0.541,3.504,4.504,5.504,6.504,7.504,8.504,9.504,10.504,11.504,12.504,13.504,14.504
01-11-2017 16:00,4.043,0.47,4.086,0.491,3.778,4.778,5.778,6.778,7.778,8.778,9.778,10.778,11.778,12.778,13.778,14.778
01-11-2017 16:10,4.343,0.435,4.311,0.446,3.952,4.952,5.952,6.952,7.952,8.952,9.952,10.952,11.952,12.952,13.952,14.952
01-11-2017 16:20,4.338,0.481,4.336,0.491,4.045,5.045,6.045,7.045,8.045,9.045,10.045,11.045,12.045,13.045,14.045,15.045
01-11-2017 16:30,4.832,0.435,4.802,0.434,4.42,5.42,6.42,7.42,8.42,9.42,10.42,11.42,12.42,13.42,14.42,15.42
01-11-2017 16:40,4.822,0.369,4.775,0.422,4.349,5.349,6.349,7.349,8.349,9.349,10.349,11.349,12.349,13.349,14.349,15.349
01-11-2017 16:50,4.714,0.369,4.704,0.369,4.045,5.045,6.045,7.045,8.045,9.045,10.045,11.045,12.045,13.045,14.045,15.045
01-11-2017 17:00,4.65,0.145,4.662,0.145,4.207,5.207,6.207,7.207,8.207,9.207,10.207,11.207,12.207,13.207,14.207,15.207
01-11-2017 17:10,4.544,0.102,4.547,0.102,4.124,5.124,6.124,7.124,8.124,9.124,10.124,11.124,12.124,13.124,14.124,15.124
01-11-2017 17:20,4.319,0.102,4.329,0.102,3.913,4.913,5.913,6.913,7.913,8.913,9.913,10.913,11.913,12.913,13.913,14.913
01-11-2017 17:30,4.375,0.102,4.375,0,4.026,5.026,6.026,7.026,8.026,9.026,10.026,11.026,12.026,13.026,14.026,15.026
01-11-2017 17:40,4.741,0.229,4.718,0.205,4.043,5.043,6.043,7.043,8.043,9.043,10.043,11.043,12.043,13.043,14.043,15.043
01-11-2017 17:50,4.564,0,4.547,0,4.222,5.222,6.222,7.222,8.222,9.222,10.222,11.222,12.222,13.222,14.222,15.222
01-11-2017 18:00,4.427,0,4.427,0,4.204,5.204,6.204,7.204,8.204,9.204,10.204,11.204,12.204,13.204,14.204,15.204
01-11-2017 18:10,4.159,0.177,4.157,0.177,3.91,4.91,5.91,6.91,7.91,8.91,9.91,10.91,11.91,12.91,13.91,14.91
01-11-2017 18:20,3.845,0.102,3.848,0.102,3.597,4.597,5.597,6.597,7.597,8.597,9.597,10.597,11.597,12.597,13.597,14.597
01-11-2017 18:30,3.516,0.251,3.527,0.229,3.082,4.082,5.082,6.082,7.082,8.082,9.082,10.082,11.082,12.082,13.082,14.082
01-11-2017 18:40,3.317,0.102,3.331,0,2.901,3.901,4.901,5.901,6.901,7.901,8.901,9.901,10.901,11.901,12.901,13.901
01-11-2017 18:50,3.199,0.145,3.211,0.145,2.913,3.913,4.913,5.913,6.913,7.913,8.913,9.913,10.913,11.913,12.913,13.913
01-11-2017 19:00,3.11,0,3.144,0,2.754,3.754,4.754,5.754,6.754,7.754,8.754,9.754,10.754,11.754,12.754,13.754
01-11-2017 19:10,3.164,0.102,3.181,0.102,2.796,3.796,4.796,5.796,6.796,7.796,8.796,9.796,10.796,11.796,12.796,13.796
01-11-2017 19:20,3.317,0.102,3.338,0.102,2.977,3.977,4.977,5.977,6.977,7.977,8.977,9.977,10.977,11.977,12.977,13.977
01-11-2017 19:30,3.346,0.102,3.382,0.102,3.09,4.09,5.09,6.09,7.09,8.09,9.09,10.09,11.09,12.09,13.09,14.09
01-11-2017 19:40,3.683,0.102,3.728,0.102,3.011,4.011,5.011,6.011,7.011,8.011,9.011,10.011,11.011,12.011,13.011,14.011
01-11-2017 19:50,3.754,0,3.806,0,3.087,4.087,5.087,6.087,7.087,8.087,9.087,10.087,11.087,12.087,13.087,14.087
01-11-2017 20:00,3.734,0.145,3.779,0.145,3.224,4.224,5.224,6.224,7.224,8.224,9.224,10.224,11.224,12.224,13.224,14.224
01-11-2017 20:10,3.523,0.102,3.573,0.102,2.766,3.766,4.766,5.766,6.766,7.766,8.766,9.766,10.766,11.766,12.766,13.766
01-11-2017 20:20,3.4,0.102,3.453,0.102,2.656,3.656,4.656,5.656,6.656,7.656,8.656,9.656,10.656,11.656,12.656,13.656
01-11-2017 20:30,3.415,0.102,3.473,0.102,2.845,3.845,4.845,5.845,6.845,7.845,8.845,9.845,10.845,11.845,12.845,13.845
01-11-2017 20:40,3.741,0.177,3.809,0.177,3.359,4.359,5.359,6.359,7.359,8.359,9.359,10.359,11.359,12.359,13.359,14.359
01-11-2017 20:50,3.943,0.102,4.02,0.102,3.957,4.957,5.957,6.957,7.957,8.957,9.957,10.957,11.957,12.957,13.957,14.957
01-11-2017 21:00,3.994,0.145,4.061,0.145,3.994,4.994,5.994,6.994,7.994,8.994,9.994,10.994,11.994,12.994,13.994,14.994
01-11-2017 21:10,3.857,0.177,3.917,0.205,3.313,4.313,5.313,6.313,7.313,8.313,9.313,10.313,11.313,12.313,13.313,14.313
01-11-2017 21:20,3.869,0.177,3.929,0.205,3.717,4.717,5.717,6.717,7.717,8.717,9.717,10.717,11.717,12.717,13.717,14.717
01-11-2017 21:30,3.926,0.145,3.985,0.145,3.793,4.793,5.793,6.793,7.793,8.793,9.793,10.793,11.793,12.793,13.793,14.793
01-11-2017 21:40,4.154,0.251,4.213,0.229,3.874,4.874,5.874,6.874,7.874,8.874,9.874,10.874,11.874,12.874,13.874,14.874
01-11-2017 21:50,3.243,0.229,3.291,0.229,3.249,4.249,5.249,6.249,7.249,8.249,9.249,10.249,11.249,12.249,13.249,14.249
01-11-2017 22:00,3.565,0.307,3.622,0.289,3.3,4.3,5.3,6.3,7.3,8.3,9.3,10.3,11.3,12.3,13.3,14.3
01-11-2017 22:10,4.616,0.324,4.664,0.354,3.771,4.771,5.771,6.771,7.771,8.771,9.771,10.771,11.771,12.771,13.771,14.771
01-11-2017 22:20,5.409,0.29,5.476,0.271,4.817,5.817,6.817,7.817,8.817,9.817,10.817,11.817,12.817,13.817,14.817,15.817
01-11-2017 22:30,6.317,0.522,6.383,0.532,5.226,6.226,7.226,8.226,9.226,10.226,11.226,12.226,13.226,14.226,15.226,16.226
01-11-2017 22:40,7.498,0.229,7.57,0.229,6.481,7.481,8.481,9.481,10.481,11.481,12.481,13.481,14.481,15.481,16.481,17.481
01-11-2017 22:50,6.892,1.259,6.942,1.249,6.395,7.395,8.395,9.395,10.395,11.395,12.395,13.395,14.395,15.395,16.395,17.395
01-11-2017 23:00,6.511,0.589,6.574,0.597,5.611,6.611,7.611,8.611,9.611,10.611,11.611,12.611,13.611,14.611,15.611,16.611
01-11-2017 23:10,6.209,1.234,6.273,1.265,5.231,6.231,7.231,8.231,9.231,10.231,11.231,12.231,13.231,14.231,15.231,16.231
01-11-2017 23:20,7.285,0.324,7.361,0.307,5.856,6.856,7.856,8.856,9.856,10.856,11.856,12.856,13.856,14.856,15.856,16.856
01-11-2017 23:30,6.069,1.159,6.111,1.171,4.841,5.841,6.841,7.841,8.841,9.841,10.841,11.841,12.841,13.841,14.841,15.841
01-11-2017 23:40,6.31,0.458,6.381,0.446,5.143,6.143,7.143,8.143,9.143,10.143,11.143,12.143,13.143,14.143,15.143,16.143
01-11-2017 23:50,6.791,0.324,6.854,0.324,5.922,6.922,7.922,8.922,9.922,10.922,11.922,12.922,13.922,14.922,15.922,16.922
02-11-2017 00:00,7.051,0.324,7.106,0.324,5.986,6.986,7.986,8.986,9.986,10.986,11.986,12.986,13.986,14.986,15.986,16.986
02-11-2017 00:10,6.29,0.41,6.329,0.383,5.383,6.383,7.383,8.383,9.383,10.383,11.383,12.383,13.383,14.383,15.383,16.383
02-11-2017 00:20,6.607,0.502,6.655,0.512,6.238,7.238,8.238,9.238,10.238,11.238,12.238,13.238,14.238,15.238,16.238,17.238
02-11-2017 00:30,6.995,0.632,7.05,0.622,6.704,7.704,8.704,9.704,10.704,11.704,12.704,13.704,14.704,15.704,16.704,17.704
02-11-2017 00:40,7.312,0.57,7.359,0.579,6.914,7.914,8.914,9.914,10.914,11.914,12.914,13.914,14.914,15.914,16.914,17.914
02-11-2017 00:50,7.341,0.71,7.406,0.738,7.157,8.157,9.157,10.157,11.157,12.157,13.157,14.157,15.157,16.157,17.157,18.157
02-11-2017 01:00,7.565,0.34,7.626,0.324,7.409,8.409,9.409,10.409,11.409,12.409,13.409,14.409,15.409,16.409,17.409,18.409
02-11-2017 01:10,7.594,0.271,7.651,0.271,7.733,8.733,9.733,10.733,11.733,12.733,13.733,14.733,15.733,16.733,17.733,18.733
02-11-2017 01:20,7.958,0.34,8.031,0.339,7.787,8.787,9.787,10.787,11.787,12.787,13.787,14.787,15.787,16.787,17.787,18.787
02-11-2017 01:30,8.115,0.481,8.19,0.48,7.747,8.747,9.747,10.747,11.747,12.747,13.747,14.747,15.747,16.747,17.747,18.747
02-11-2017 01:40,7.989,0.251,8.07,0.251,7.76,8.76,9.76,10.76,11.76,12.76,13.76,14.76,15.76,16.76,17.76,18.76
02-11-2017 01:50,8.171,0.271,8.259,0.251,7.799,8.799,9.799,10.799,11.799,12.799,13.799,14.799,15.799,16.799,17.799,18.799
02-11-2017 02:00,8.544,0.34,8.649,0.339,7.855,8.855,9.855,10.855,11.855,12.855,13.855,14.855,15.855,16.855,17.855,18.855
02-11-2017 02:10,8.495,0.447,8.587,0.446,7.101,8.101,9.101,10.101,11.101,12.101,13.101,14.101,15.101,16.101,17.101,18.101
02-11-2017 02:20,7.992,0.251,8.072,0.251,7.081,8.081,9.081,10.081,11.081,12.081,13.081,14.081,15.081,16.081,17.081,18.081
02-11-2017 02:30,8.63,0.145,8.71,0.177,8.343,9.343,10.343,11.343,12.343,13.343,14.343,15.343,16.343,17.343,18.343,19.343
02-11-2017 02:40,8.638,0.481,8.727,0.469,8.313,9.313,10.313,11.313,12.313,13.313,14.313,15.313,16.313,17.313,18.313,19.313
02-11-2017 02:50,7.972,0.271,8.067,0.289,8.017,9.017,10.017,11.017,12.017,13.017,14.017,15.017,16.017,17.017,18.017,19.017
02-11-2017 03:00,8.237,0.355,8.327,0.354,8.12,9.12,10.12,11.12,12.12,13.12,14.12,15.12,16.12,17.12,18.12,19.12
02-11-2017 03:10,8.365,0.369,8.462,0.369,8.161,9.161,10.161,11.161,12.161,13.161,14.161,15.161,16.161,17.161,18.161,19.161
02-11-2017 03:20,8.267,0.205,8.359,0.229,8.127,9.127,10.127,11.127,12.127,13.127,14.127,15.127,16.127,17.127,18.127,19.127
02-11-2017 03:30,8.132,0.324,8.222,0.354,8.257,9.257,10.257,11.257,12.257,13.257,14.257,15.257,16.257,17.257,18.257,19.257
02-11-2017 03:40,8.26,0.229,8.347,0.229,8.617,9.617,10.617,11.617,12.617,13.617,14.617,15.617,16.617,17.617,18.617,19.617
02-11-2017 03:50,7.975,0.271,8.053,0.289,8.232,9.232,10.232,11.232,12.232,13.232,14.232,15.232,16.232,17.232,18.232,19.232
02-11-2017 04:00,7.786,0.177,7.837,0.177,7.774,8.774,9.774,10.774,11.774,12.774,13.774,14.774,15.774,16.774,17.774,18.774
02-11-2017 04:10,7.891,0.29,7.947,0.307,7.718,8.718,9.718,10.718,11.718,12.718,13.718,14.718,15.718,16.718,17.718,18.718
02-11-2017 04:20,7.768,0.251,7.803,0.251,7.265,8.265,9.265,10.265,11.265,12.265,13.265,14.265,15.265,16.265,17.265,18.265
02-11-2017 04:30,7.641,0.383,7.68,0.396,7,8,9,10,11,12,13,14,15,16,17,18
02-11-2017 04:40,7.822,0.324,7.879,0.324,6.711,7.711,8.711,9.711,10.711,11.711,12.711,13.711,14.711,15.711,16.711,17.711
02-11-2017 04:50,7.935,0.369,7.979,0.396,7.083,8.083,9.083,10.083,11.083,12.083,13.083,14.083,15.083,16.083,17.083,18.083
02-11-2017 05:00,8.454,0.177,8.526,0.145,7.904,8.904,9.904,10.904,11.904,12.904,13.904,14.904,15.904,16.904,17.904,18.904
02-11-2017 05:10,8.235,0.307,8.3,0.307,7.821,8.821,9.821,10.821,11.821,12.821,13.821,14.821,15.821,16.821,17.821,18.821
02-11-2017 05:20,8.613,0.447,8.693,0.422,8.073,9.073,10.073,11.073,12.073,13.073,14.073,15.073,16.073,17.073,18.073,19.073
02-11-2017 05:30,8.638,0.229,8.715,0.251,8.345,9.345,10.345,11.345,12.345,13.345,14.345,15.345,16.345,17.345,18.345,19.345
02-11-2017 05:40,8.736,0.205,8.813,0.205,8.191,9.191,10.191,11.191,12.191,13.191,14.191,15.191,16.191,17.191,18.191,19.191
02-11-2017 05:50,8.51,0.34,8.585,0.339,8.458,9.458,10.458,11.458,12.458,13.458,14.458,15.458,16.458,17.458,18.458,19.458
02-11-2017 06:00,8.505,0.458,8.577,0.491,8.255,9.255,10.255,11.255,12.255,13.255,14.255,15.255,16.255,17.255,18.255,19.255
02-11-2017 06:10,8.021,0.29,8.104,0.307,8.304,9.304,10.304,11.304,12.304,13.304,14.304,15.304,16.304,17.304,18.304,19.304
